anariko:x:1:8:Aan Nariko:/home/anariko:/bin/bash
aposy:x:2:9:Aalia Posy:/home/aposy:/bin/bash
ajacques:x:3:7:Aaliah Jacques:/home/ajacques:/bin/ksh
aerma:x:4:4:Aaliyah Erma:/home/aerma:/bin/tcsh
aqingjao:x:5:4:Aaron Qing-jao:/home/aqing-jao:/bin/tcsh
ajacquet:x:6:8:Aaryanna Jacquetta:/home/ajacquetta:/bin/tcsh
ataib:x:7:2:Aavree Taib:/home/ataib:/bin/tcsh
abritann:x:8:3:Abbie Britannia:/home/abritannia:/bin/bash
atadeles:x:9:8:Abbott Tadelesh:/home/atadelesh:/bin/bash
ajules:x:10:3:Abbra Jules:/home/ajules:/bin/ksh
ajerica:x:11:7:Abby Jerica:/home/ajerica:/bin/tcsh
ahanibal:x:12:5:Abe Hanibal:/home/ahanibal:/bin/tcsh
adeva:x:13:6:Abel Deva:/home/adeva:/bin/tcsh
acamden:x:14:11:Abelardo Camden:/home/acamden:/bin/tcsh
alilo:x:15:9:Abeni Lilo:/home/alilo:/bin/bash
apaisley:x:16:2:Abia Paisley:/home/apaisley:/bin/bash
arodney:x:17:4:Abiba Rodney:/home/arodney:/bin/ksh
amireill:x:18:7:Abie Mireille:/home/amireille:/bin/tcsh
akathie:x:19:11:Abigail Kathie:/home/akathie:/bin/tcsh
aleland:x:20:3:Abner Leland:/home/aleland:/bin/tcsh
amarcell:x:21:12:Abraham Marcell:/home/amarcell:/bin/tcsh
asynan:x:22:10:Abram Synan:/home/asynan:/bin/bash
avirgil:x:23:9:Abrial Virgil:/home/avirgil:/bin/bash
afionn:x:24:12:Abrianna Fionn:/home/afionn:/bin/ksh
aliliaun:x:25:3:Abrienda Liliauna:/home/aliliauna:/bin/tcsh
aemiliee:x:26:3:Abril Emiliee:/home/aemiliee:/bin/tcsh
alamanue:x:27:7:Abryl Lamanuel:/home/alamanuel:/bin/tcsh
awatson:x:28:6:Absolom Watson:/home/awatson:/bin/tcsh
